epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5757,1.12364,2.04603,1.65011,0.79477,0.76754,0.82039,0.48813,1.2721,1.46573,1.72259,0.000663623,0.000663623,0.000663623
2,42.1001,1.19459,1.31409,1.65951,0.75233,0.70605,0.76433,0.43533,1.40352,1.39547,1.78373,0.00119859,0.00119859,0.00119859
3,59.0974,1.18996,1.04676,1.65704,0.80959,0.83502,0.88456,0.55256,1.27275,1.07271,1.66321,0.00160156,0.00160156,0.00160156
4,75.9431,1.13744,0.88765,1.59217,0.85436,0.76396,0.84863,0.52067,1.29125,1.11737,1.74787,0.001406,0.001406,0.001406
5,92.7625,1.03856,0.75696,1.51326,0.90333,0.84188,0.91097,0.61786,1.10732,0.80634,1.54844,0.001208,0.001208,0.001208
6,109.587,0.9866,0.66031,1.46199,0.93899,0.91511,0.96438,0.65352,1.04261,0.63296,1.45183,0.00101,0.00101,0.00101
7,126.613,0.87394,0.57342,1.36662,0.96373,0.94054,0.9702,0.71151,0.91999,0.55149,1.36625,0.000812,0.000812,0.000812
8,143.468,0.82222,0.52062,1.31619,0.94609,0.94955,0.97027,0.73677,0.87026,0.5065,1.33713,0.000614,0.000614,0.000614
9,160.284,0.76583,0.47386,1.27521,0.96372,0.95724,0.98476,0.77825,0.78735,0.46269,1.24897,0.000416,0.000416,0.000416
10,177.081,0.70391,0.43556,1.23294,0.96758,0.96807,0.98532,0.77161,0.80064,0.44174,1.27111,0.000218,0.000218,0.000218
